Season,Lg,Tm, PLAYER_1,PLAYER_2,PLAYER_3, PLAYER_4, PLAYER_5, PLAYER_6
2017-18,NBA,1st,Rudy Gobert,Anthony Davis,Victor Oladipo,Robert Covington,Jrue Holiday
2017-18,NBA,2nd,Joel Embiid,Draymond Green,Al Horford,Dejounte Murray,Jimmy Butler
2016-17,NBA,1st,Kawhi Leonard,Draymond Green,Rudy Gobert,Patrick Beverley,Chris Paul
2016-17,NBA,2nd,Tony Allen,Danny Green,Andre Roberson,Anthony Davis,Giannis Antetokounmpo
2015-16,NBA,1st,Kawhi Leonard,Draymond Green,DeAndre Jordan,Avery Bradley,Chris Paul
2015-16,NBA,2nd,Paul Millsap,Paul George,Hassan Whiteside,Tony Allen,Jimmy Butler
2014-15,NBA,1st,Kawhi Leonard,Draymond Green,Tony Allen,DeAndre Jordan,Chris Paul
2014-15,NBA,2nd,Anthony Davis,Jimmy Butler,Andrew Bogut,John Wall,Tim Duncan
2013-14,NBA,1st,Joakim Noah,Paul George,Chris Paul,Serge Ibaka,Andre Iguodala
2013-14,NBA,2nd,LeBron James,Patrick Beverley,Jimmy Butler,Kawhi Leonard,Roy Hibbert
2012-13,NBA,1st,Tony Allen,Serge Ibaka,LeBron James,Chris Paul,Tyson Chandler, Joakim Noah
2012-13,NBA,2nd,Avery Bradley,Mike Conley,Tim Duncan,Marc Gasol,Paul George
2011-12,NBA,1st,Tony Allen,Dwight Howard,Serge Ibaka,LeBron James,Chris Paul
2011-12,NBA,2nd,Kobe Bryant,Tyson Chandler,Luol Deng,Kevin Garnett,Rajon Rondo
2010-11,NBA,1st,Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Rajon Rondo
2010-11,NBA,2nd,Tony Allen,Tyson Chandler,Andre Iguodala,Joakim Noah,Chris Paul
2009-10,NBA,1st,Kobe Bryant,Dwight Howard,LeBron James,Rajon Rondo,Gerald Wallace
2009-10,NBA,2nd,Tim Duncan,Thabo Sefolosha,Josh Smith,Anderson Varejao,Dwyane Wade
2008-09,NBA,1st,Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Chris Paul
2008-09,NBA,2nd,Metta World Peace,Shane Battier,Tim Duncan,Rajon Rondo,Dwyane Wade
2007-08,NBA,1st,Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan,Kevin Garnett
2007-08,NBA,2nd,Shane Battier,Raja Bell,Dwight Howard,Chris Paul,Tayshaun Prince
2006-07,NBA,1st,Raja Bell,Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan
2006-07,NBA,2nd,Kevin Garnett,Kirk Hinrich,Jason Kidd,Tayshaun Prince,Ben Wallace
2005-06,NBA,1st,Metta World Peace,Bruce Bowen,Andrei Kirilenko,Ben Wallace,Kobe Bryant, Jason Kidd
2005-06,NBA,2nd,Chauncey Billups,Marcus Camby,Tim Duncan,Kevin Garnett,Tayshaun Prince
2004-05,NBA,1st,Bruce Bowen,Tim Duncan,Kevin Garnett,Larry Hughes,Ben Wallace
2004-05,NBA,2nd,Chauncey Billups,Marcus Camby,Andrei Kirilenko,Tayshaun Prince,Jason Kidd, Dwyane Wade
