PLAYER,POS,Agility,Shuttle,Sprint,Standing_Vertical,Max_Vertical,Bench
Aerick Sanders,PF,11.98,-,3.37,24.5,30.5,9
Al Jefferson,PF-SF,13.08,-,3.29,28.5,30,3
Aleksandar Capin,PG,11.5,-,3.27,23,29,4
Ales Chan,C,12.9,-,3.62,21,29,2
Andre Barrett,PG,10.63,-,3.08,29,34.5,13
Andre Brown,PF-C,11.7,-,3.22,32,35.5,18
Andre Emmett,SG-SF,-,-,-,-,-,-
Andre Iguodala,SG-SF,11.17,-,3.18,30.5,34.5,4
Andris Biedrins,C,-,-,-,-,-,-
Antonio Burks,PG,-,-,-,-,-,9
Arthur Johnson,PF-C,11.81,-,3.38,26.5,28.5,14
Ben Gordon,PG-SG,11.28,-,3.19,31.5,37.5,12
Beno Udrih,PG,-,-,-,-,-,2
Bernard Robinson,SG-SF,10.91,-,3.17,28.5,34.5,14
Blagota Sekulic,SF-PF,10.93,-,3.39,23.5,31.5,8
Blake Stepp,PG,-,-,-,-,-,-
Brandon Bass,PF,11.61,-,3.24,31.5,33,18
Brian Boddicker,SF-PF,10.93,-,3.25,28,30,16
Bryant Matthews,SF-SG,11.08,-,3.13,29,34.5,13
Chris Duhon,PG,10.45,-,3.14,31.5,35,7
Chris Garnett,C-PF,11.75,-,3.36,27,31.5,22
Damien Wilkins,SG-SF,11.92,-,3.15,26.5,31,15
Delonte West,PG-SG,11.2,-,3.15,30,35,12
Desmon Farmer,SG,10.89,-,3.2,24,31,12
Devin Harris,PG,11.03,-,3.19,30.5,37,5
Drago Pasalic,PF,12.97,-,3.56,25.5,30,8
Dwight Howard,PF-C,11.21,-,3.14,30.5,35.5,7
Dylan Page,SF,10.99,-,3.4,26,30,17
Emeka Okafor,C-PF,12.32,-,3.15,31.5,34,22
Erik Daniels,SF-PF,11.38,-,3.19,31,32,4
Herve Lamizana,SF-PF,-,-,-,-,-,-
Ivan Koljevic,PG,11.07,-,3.28,26,28.5,4
J.R. Smith,SG-SF,10.93,-,3.21,29,35.5,5
Jackie Butler,C,13.32,-,3.4,23,25,14
Jackson Vroman,PF-C,10.75,-,3.25,29.5,33.5,12
Jaime Lloreda,PF,12.93,-,3.23,25.5,29.5,6
Jameer Nelson,PG,10.95,-,3.14,28.5,33.5,15
James Moore,PF-SF,11.01,-,3.21,28.5,32.5,-
Jared Reiner,C-PF,12.65,-,3.56,22,26,15
John Edwards,C,-,-,-,-,-,15
Josh Childress,SG-SF,11.95,-,3.38,29,36,11
Josh Smith,SG-SF,11.43,-,3.24,32.5,39.5,12
Kelvin Pena,SG-PG,11.5,-,3.24,27.5,32.5,1
Kirk Snyder,SG-SF,10.79,-,3.13,30,35,19
Kris Humphries,PF,11.33,-,3.2,29.5,36,22
Lawrence Roberts,PF,12.52,-,3.3,27.5,33,18
Luis Flores,PG-SG,10.97,-,3.1,29,32,15
Luke Jackson,SF-SG,11.1,-,3.24,26.5,36,13
Luol Deng,SF,11.46,-,3.34,27.5,31.5,5
Marcus Douthit,C-PF,11.64,-,3.34,25.5,31.5,1
Marcus Melvin,SF-PF,11.81,-,3.33,25,30.5,11
Marcus Moore,PG-SG,11.31,-,3.34,25,30,-
Marko Tomas,SG-PG,11.8,-,3.23,32,31.5,-
Martin Iti,C-PF,12.28,-,3.41,26.5,32.5,13
Matt Freije,SF-PF,11.15,-,3.25,29.5,31,13
Michel Morandais,SG-SF,11.45,-,3.22,30.5,33.5,16
Mike Williams,SF,11.59,-,3.42,23.5,27.5,-
Misan Nikagbatse,SG-PG,11.27,-,3.32,27.5,32.5,11
Nate Robinson,PG,10.75,-,2.96,35.5,43.5,13
Nate Williams,PF-SF,12.6,-,3.35,23.5,26,1
Omar Quintero,PG,11.37,-,3.25,25,29,2
Pape Sow,PF-C,12.13,-,3.27,28,31.5,18
Peter Ramos,C,12.61,-,3.6,24,26.5,2
Randall Orr,PF-SF,11.18,-,3.27,26.5,33,6
Rashad Wright,PG,11.15,-,3.28,28.5,32.5,10
Rich Melzer,PF-SF,11.74,-,3.39,24.5,28.5,8
Rickey Paulding,SG,11.14,-,3.17,30,36,17
Ricky Minard,PG-SG,10.94,-,3.1,27.5,33,13
Rolando Howell,PF,11.91,-,3.28,28.5,34.5,-
Romain Sato,SG,11.27,-,3.18,31.5,35.5,8
Ryan Gomes,SF-PF,12.49,-,3.24,26.5,30.5,9
Sergei Lishouk,PF-SF,-,-,-,-,-,-
Shaun Livingston,PG-SG,10.72,-,3.23,26.5,30,-
TJ Cummings,SF,11.58,-,3.12,27,31,6
Tiago Splitter,C-PF,11.65,-,3.38,26,31.5,8
Tim Bowers,PG-SG,11.24,-,3.21,37,43.5,13
Tim Pickett,PG-SG,-,-,-,-,-,-
Tom Timmerrmans,PF-C,13.13,-,3.63,23,26.5,15
Tony Allen,SG,10.7,-,3.19,31.5,36.5,17
Tony Bobbitt,SG,-,-,-,-,-,1
Trevor Ariza,SG-SF,11.63,-,3.29,29.5,32,8
